"date","organization","icon","description","title","order","status","id","created_date","updated_date","created_by_id","is_sample"
"2012 - 2026","Hilldale Public School, Williams Parkway Senior Public School & Chinguacousy Secondary School","trophy","Received multiple Character Awards recognizing leadership, responsibility, organization, initiative, teamwork, respect, and positive contributions to the school community.","Character Awards","13","published","6a4873d948a3c667304f62ff","2026-07-04T02:45:45.800000","2026-07-04T02:45:45.800000","6a4736c352c574e239e79509","false"
"June 2022","Williams Parkway Senior Public School","trophy","Awarded for outstanding academic achievement, curiosity, and excellence in Geography.","Geography Subject Award","12","published","6a48739ccfd916b4e7cc2cc6","2026-07-04T02:44:44.516000","2026-07-04T02:44:44.516000","6a4736c352c574e239e79509","false"
"June 2019","Hilldale Public School","trophy","Awarded for exceptional achievement, participation, and excellence in French language studies.","French Subject Award","11","published","6a4873779634385e15eef91c","2026-07-04T02:44:07.393000","2026-07-04T02:44:07.393000","6a4736c352c574e239e79509","false"
"2020 - 2026","Williams Parkway Senior Public School & Chinguacousy Secondary School","trophy","Consistently recognized on the Honour Roll throughout Grades 6 –12 for maintaining outstanding academic achievement and high overall averages.","Honour Roll","11","published","6a4873564cc6fdc1456fc6db","2026-07-04T02:43:34.387000","2026-07-04T02:43:34.387000","6a4736c352c574e239e79509","false"
"October 2023","Centre for Education in Mathematics and Computing (CEMC), University of Waterloo","trophy","Earned second place for outstanding mathematical problem-solving and analytical skills in the Canadian Intermediate Mathematics Contest.","2nd Place – Canadian Intermediate Math Contest (CIMC)","10","published","6a48730bb4a714f7493a7503","2026-07-04T02:42:19.779000","2026-07-04T02:42:19.779000","6a4736c352c574e239e79509","false"
"February 2026","Brampton FBLC, JEC & TA","trophy","Contributed to the organization's success in earning multiple national chapter recognitions, including 2nd Best Chapter, 2nd Best Performing Chapter, and Best Engagement Award during the Canadian National Leadership Conference (CNLC) 2026.","CNLC 2026 Chapter Awards","9","published","6a48728edeb794a4dcdcfa9e","2026-07-04T02:40:14.470000","2026-07-04T02:40:14.470000","6a4736c352c574e239e79509","false"
"March 2025","Chinguacousy Robotics – FIRST Robotics Competition Team 3560","trophy","Awarded for demonstrating exceptional teamwork, positivity, leadership, and dedication while supporting teammates throughout the robotics season.","Team Spirit Award","8","published","6a48723f8e1056f74b135731","2026-07-04T02:38:55.068000","2026-07-04T02:39:13.184000","6a4736c352c574e239e79509","false"
"November 2023","Chinguacousy SciTech Activity Committee (STAC)","trophy","Achieved first place in the STEAMWorks Arts-Event competition by showcasing creativity, innovation, and artistic design integrated with STEAM principles.","1st Place – STEAMWorks Arts Event","7","published","6a48705146ce803a8ea0bd2d","2026-07-04T02:30:41.711000","2026-07-04T02:30:52.367000","6a4736c352c574e239e79509","false"
"May 28, 2026","Chinguacousy Robotics – FIRST Robotics Competition Team 3560","certificate","Presented in recognition of outstanding leadership, teamwork, and meaningful contributions to robotics competitions, outreach initiatives, and team development.","Mechawolves FRC Team 3560 Award of Achievement","6","published","6a486e1ae40722d2c252c11c","2026-07-04T02:21:14.442000","2026-07-04T02:31:06.197000","6a4736c352c574e239e79509","false"
"June 1, 2026","Chinguacousy SciTech Activity Committee (STAC)","trophy","Recognized for exceptional leadership, dedication, and contributions toward organizing STEM events, hackathons, and student initiatives within the SciTech community.","STAC Award of Achievement","5","published","6a486deab5ebce66187a9b36","2026-07-04T02:20:26.502000","2026-07-04T02:24:02.861000","6a4736c352c574e239e79509","false"
"June 25, 2026","Chinguacousy Secondary School","trophy","Awarded for exceptional academic performance in Grade 12 Chemistry and Physics courses.","Certificate of Distinction in Grade 12 Science Courses","4","published","6a486dbba2824ad6913b3cb1","2026-07-04T02:19:39.083000","2026-07-04T02:23:48.862000","6a4736c352c574e239e79509","false"
"June 25, 2026","Chinguacousy Secondary School","trophy","Awarded for outstanding academic achievement in Grade 12 mathematics, including Advanced Functions, Calculus & Vectors, and Data Management.","Certificate of Distinction in Grade 12 Math Courses","3","published","6a486d929a91f51faf8a6501","2026-07-04T02:18:58.775000","2026-07-04T02:22:51.910000","6a4736c352c574e239e79509","false"
"June 25, 2026","Government of Ontario","trophy","Gold-level provincial recognition awarded for completing over 200 hours of community involvement while demonstrating outstanding civic engagement and volunteer service.","Gold Minister's Certificate of Recognition for Community Involvement","2","published","6a486c665569e5d33ed193d6","2026-07-04T02:13:58.621000","2026-07-04T02:22:39.076000","6a4736c352c574e239e79509","false"
"June 25, 2026","Government of Ontario","trophy","Awarded to graduating students who achieved an average of 80% or higher in their best six Grade 12 courses.","Ontario Scholar Award","1","published","6a486c42fafc27cdb7002f9c","2026-07-04T02:13:22.084000","2026-07-04T02:22:45.589000","6a4736c352c574e239e79509","false"
"June 25, 2026","Chinguacousy Secondary School – SciTech Program","trophy","Awarded in recognition of perseverance, adaptability, and commitment to academic excellence throughout the Science & Technology (SciTech) program.","SciTech Resilience Award ","0","published","6a486bfdc724bbdc2036b4d2","2026-07-04T02:12:13.002000","2026-07-04T02:22:32.060000","6a4736c352c574e239e79509","false"
